Topology: simple | Epoch: 1/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 71.7 | Test Acc: 71.2 | Train Loss: 9.67e-01 | Test Loss: 9.75e-01
Topology: simple | Epoch: 2/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 74.7 | Test Acc: 73.9 | Train Loss: 7.43e-01 | Test Loss: 7.55e-01
Topology: simple | Epoch: 3/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 76.7 | Test Acc: 75.9 | Train Loss: 6.58e-01 | Test Loss: 6.73e-01
Topology: simple | Epoch: 4/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 78.5 | Test Acc: 77.6 | Train Loss: 6.08e-01 | Test Loss: 6.24e-01
Topology: simple | Epoch: 5/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 79.8 | Test Acc: 78.8 | Train Loss: 5.73e-01 | Test Loss: 5.91e-01
Topology: simple | Epoch: 6/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 80.8 | Test Acc: 79.8 | Train Loss: 5.46e-01 | Test Loss: 5.66e-01
Topology: simple | Epoch: 7/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 81.6 | Test Acc: 80.4 | Train Loss: 5.26e-01 | Test Loss: 5.48e-01
Topology: simple | Epoch: 8/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 82.2 | Test Acc: 80.9 | Train Loss: 5.11e-01 | Test Loss: 5.33e-01
Topology: simple | Epoch: 9/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 82.6 | Test Acc: 81.2 | Train Loss: 4.98e-01 | Test Loss: 5.22e-01
Topology: simple | Epoch: 10/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 83.0 | Test Acc: 81.4 | Train Loss: 4.87e-01 | Test Loss: 5.12e-01
Topology: simple | Epoch: 11/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 83.3 | Test Acc: 81.8 | Train Loss: 4.77e-01 | Test Loss: 5.04e-01
Topology: simple | Epoch: 12/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 83.5 | Test Acc: 82.0 | Train Loss: 4.69e-01 | Test Loss: 4.97e-01
Topology: simple | Epoch: 13/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 83.8 | Test Acc: 82.3 | Train Loss: 4.62e-01 | Test Loss: 4.90e-01
Topology: simple | Epoch: 14/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 84.0 | Test Acc: 82.5 | Train Loss: 4.56e-01 | Test Loss: 4.85e-01
Topology: simple | Epoch: 15/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 84.2 | Test Acc: 82.7 | Train Loss: 4.50e-01 | Test Loss: 4.80e-01
Topology: simple | Epoch: 16/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 84.4 | Test Acc: 82.8 | Train Loss: 4.44e-01 | Test Loss: 4.75e-01
Topology: simple | Epoch: 17/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 84.6 | Test Acc: 83.1 | Train Loss: 4.39e-01 | Test Loss: 4.71e-01
Topology: simple | Epoch: 18/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 84.7 | Test Acc: 83.2 | Train Loss: 4.35e-01 | Test Loss: 4.67e-01
Topology: simple | Epoch: 19/100 | Batch Size: 32 | LR: 0.010000 | Train Acc: 84.9 | Test Acc: 83.3 | Train Loss: 4.31e-01 | Test Loss: 4.63e-01
